"Wild.type.untreated.rep1"	"Wild.type.untreated.rep2"	"Wild.type.untreated.rep3"	"Wild.type.untreated.rep4"	"Wild.type.untreated.rep5"	"Wild.type.antibiotic.treated.rep1"	"Wild.type.antibiotic.treated.rep2"	"Wild.type.antibiotic.treated.rep3"	"Wild.type.antibiotic.treated.rep4"	"Wild.type.antibiotic.treated.rep5"
"CFL1"	6.574017	6.580313	6.356686	6.657842	6.342887	6.754285	6.523316	6.289982	6.218538	6.297102
"LONRF3"	6.420697	6.360099	6.434745	6.310509	6.529036	6.260143	6.021035	6.518598	6.58125	6.509832
"CD300LB"	5.479308	5.510079	5.720193	5.560408	5.711137	5.694072	5.535332	5.639222	5.408868	5.721351
"DLX6"	5.611582	5.466503	5.49261	5.587482	5.633102	5.528498	5.437731	5.588051	5.487791	5.519991
"FAM134A"	9.274116	9.364479	8.949333	8.545023	8.745477	9.28532	9.448667	9.084305	9.283718	9.254697
"SNAPC3"	6.756861	6.745199	6.846472	6.99361	6.85346	6.643709	6.432774	6.947488	6.976268	6.83956
"ZFHX3"	7.285787	7.249866	7.090767	7.364366	7.18421	6.870112	6.688074	7.470843	6.912234	6.823525
"MAN2C1"	9.10381	9.034919	8.547821	8.724672	8.677663	8.647522	9.384233	9.413582	8.997262	9.147264
"GTPBP10"	5.917252	5.931634	6.009847	5.796726	6.021331	6.070593	5.647764	6.005513	6.165127	6.057114
"DHRS7"	7.982964	7.991065	7.957415	7.695514	7.6923	7.88453	7.769529	7.679421	7.80814	7.82124
"SNX27"	6.475259	6.500055	6.521401	6.644396	6.758742	6.466623	6.399002	6.555249	6.545544	6.531553
"FBXO18"	7.683917	7.71485	7.617866	7.723919	7.547596	7.533638	7.907448	7.420549	7.661465	7.574386
"HIST2H3A"	6.223657	6.215306	6.178955	6.241311	6.101523	5.809933	6.096812	6.124604	5.896712	5.958538
"CITED1"	5.713325	5.68238	5.798209	5.767924	5.940873	5.855875	6.239108	5.805933	5.680177	5.810427
"FER1L6"	5.652374	5.551284	5.758411	5.664865	5.720955	5.608033	5.693068	5.694682	5.719732	5.779654
"FLCN"	7.519084	7.546634	7.16164	7.170757	7.091011	7.457164	7.715812	7.407134	7.821208	8.008223
"SV2A"	5.544809	5.716642	5.750585	5.875882	5.383532	5.820285	6.073895	5.630039	5.70724	5.807478
"GON4L"	6.141045	6.201361	6.034342	6.05149	6.052288	6.045931	6.335656	6.077277	6.27595	6.112251
"SRGAP3"	5.903524	6.006571	5.922716	5.892117	5.898474	5.956697	6.111161	6.018396	5.864427	5.917883
"CEP250"	5.533949	5.596841	5.58846	5.509782	5.456429	5.652698	5.812045	5.458291	5.631664	5.575588
"TBC1D2B"	6.208123	6.136659	6.245527	6.228269	6.246006	6.180007	6.126578	6.33881	6.222225	6.285045
"DDX39A"	6.347478	5.699591	6.216723	5.735806	5.742365	5.816478	5.89369	5.913778	5.892179	5.850521
"ADIPOR1"	10.769195	10.668295	10.57287	10.875282	11.004494	10.679046	11.256344	10.843512	10.962387	10.871394
"CREB3L4"	8.446786	8.255259	8.625876	8.154127	7.562768	7.167293	8.075352	8.032615	7.65305	8.196091
"THOC2"	5.730432	5.850837	5.914211	5.741758	5.901669	5.894997	5.55097	5.843582	5.734715	5.873465
